Title,lyrics
Drama (드라마),"I once held his hand As if I became the main character of the whole world Every petal of a flower blossom All bloomed for me Olympic Boulevard, Ttukseom Amusement Park A pretty restaurant in Seochon alley Awesome ambassadors That made me stumble Can I love someone again? Can I hear you say that I’m pretty? If the opportunity comes for just one day I will shine with all my might Background music That suddenly changed to minor at some point On the set with the lights off I am left alone Just an ordinary woman with a minor role The flowers, the sky, and the Han River lie My drama ends like this again I didn’t even know it came out I didn’t even know it’s over"
Drive Me To The Moon,"Embroidered on the night sky I looked up Let everyone be blurred out except for us On the rippling waves you’ve colored I want to get drunk on sparkles, oh Mare leaks out when you came in to close my eyes Find me inside my beloved As if I didn’t wake up when I opened my eyes It’s like a dream Drive me to the moon Wanna go, oh (wanna go, oh) When I’m with you, oh-ah (oh-ah) Until the moonlight, oh I As long as I have you, go Did you feel it? Oh-ooh-ooh Drive me to the, drive me to the moon Drive me to the, drive me to the moon Drive me to the, drive me to the moon With us I’m falling into you at this moment You and me under the moonlight Everything you dance to is perfect No more without you I won’t be here No mare, you’re here Gonna ready to fly Fear leaks through the cracks of my hand Save me from the inside, beloved As if I didn’t want to wake up if the day goes by It’s already like a dream Drive me to the moon Wanna go, oh (wanna go, oh) When I’m with you, oh-ah (oh-ah) Until the moonlight, oh I As long as I have you, go Did you feel it? Oh-ooh-ooh Drive me to the, drive me to the moon Drive me to the, drive me to the moon Drive me to the, drive me to the moon With us I lean towards you It’s filled with you (oh-yeah) I lean towards you (ooh-oh-ooh) I lean towards you It’s filled with you Until the full moon rise Drive me to the moon (woo-ooh) Wanna go, oh (wanna go, oh) When I’m with you, oh-ah (na-na-na-na; oh-ah) Until the moonlight, oh I As long as I have you, go Did you feel it? Oh-ooh-ooh Drive me to the, drive me to the moon Drive me to the, drive me to the moon Drive me to the, drive me to the moon With us"
Dynamite (Holiday Remix),"Cos ah ah I’m in the stars tonight Shoes on get up in the morn Cup of milk let’s rock and roll King kong kick the drum rolling on like a rolling stone Sing song when I’m walking home Jump up to the top lebron Ding dong call me on my phone Ice tea and a game of ping pong This is getting heavy Can you hear the bass boom, I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I’m diamond you know I glow up Hey, so let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Bring a friend join the crowd Whoever wanna come along Word up talk the talk just move like we off the wall Day or night the sky’s alight So we dance to the break of dawn Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh This is getting heavy Can you hear the bass boom, I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I’m diamond you know I glow up Let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana, life is dynamite Dynnnnnanana, life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana, life is dynamite Dynnnnnanana, life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah"
Dynamite,"Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shoes on get up in the morn Cup of milk let’s rock and roll King kong kick the drum rolling on like a rolling stone Sing song when I’m walking home Jump up to the top lebron Ding dong call me on my phone Ice tea and a game of ping pong This is getting heavy Can you hear the bass boom, I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I’m diamond you know I glow up Hey, so let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Bring a friend join the crowd Whoever wanna come along Word up talk the talk just move like we off the wall Day or night the sky’s alight So we dance to the break of dawn Ladies and gentlemen, I got the medicine so you should keep ya eyes on the ball, huh This is getting heavy Can you hear the bass boom, I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I’m diamond you know I glow up Let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana, life is dynamite Dynnnnnanana, life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah Dynnnnnanana, life is dynamite Dynnnnnanana, life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite, woah"
ENCORE (앙코르),"Feels like we are still just kids But the world calls us adults Let’s never grow up Have we forgotten that time when we made a promise? To us that were experiencing everything for the first time Everything about you was a gift Remember that Right now too, (for) all of you We will sing for you We will sing for you Encore Encore We will sing for you For the rest of the days too Encore Encore Late night, it suddenly occurred to me The nervous laughs, the clumsy moves, all of it Even though we can’t turn back We can just continue doing it Now, comfortably Now, goodnight Double b Even in the brilliant blue skies The sun sets and it is dyed by darkness In no time, the blue moon shows Saying, (we’re) almost there To us that were experiencing everything for the first time Everything about you was a gift Remember that Right now too, (for) all of you We will sing for you We will sing for you Encore Encore We will sing for you Even if the world ends Encore Encore The long time we spent together There was no other reason, except for the fact that it was you Even after a long time passes Will you be here with me? Hello~ Everyone, we’re back again! Yeah! Our fans, you are surprised, right? How is the gift that we have prepared for you? More than anything else, we wanted to express our feelings like this, through a song That’s right To you guys.. Right? Right, everyone? – Yep – Yes sir And we made a promise with our fans so we’re here to keep that promise Yeah! Everyone, you haven’t forgotten it, right? Promise Us and our fans, what are we? We are one! Since we will always continue to sing the encore for you Let’s always be together, everyone~ – Yeah – Bye! Skrrt skrrt We will sing for you Even when time passes Encore Encore We will sing for you For the rest of the days too Encore Encore"
EXO – Artificial Love Lyrics,"EXO – Artificial Love Lyrics English Translation: Artificial lover, from the start I was an undercover cover I thought that this was love Although you were unrealistic (more attractive) It spread without reason My thirst for you Our relationship was flat Like a made-up love formula, your limit Heightened senses and an unclear line of reality She don’t love me To me, it’s Artificial love Your innocent, artificial love Tell me what’s the truth and what’s the lie Can’t trust this You got that Fake smile, Artificial love Fake tears, Artificial love Fake love, Artificial love That’s your Love Love Oh Oh No No Oh Oh I know you’re not the one But I keep looking for you I know it won’t work But I don’t wanna give up Now you wanna play me You have everything that I want A perfectly installed cold, artificial love Artificial lover, affections past the fatal dose An uncontrollable addiction, chew up and spit out the scars Unpredictable emotions, tears well up in my heart Like a low tide on sand, you rise up again, even more Like cold air from the mouth at dawn You go through the cold emptiness and disappear I’m turning off your light, erasing your after images You know why, artificial lover She don’t love me Yeah Artificial love Completely, empty, Artificial love Tell me what’s the truth and what’s the lie Can’t trust this You got that Fake smile, Artificial love Fake tears, Artificial love Fake love, Artificial love That’s your Love Love Oh Oh No No Oh Oh Love Love Oh Oh No No Oh Oh Uh, Listen up I wanted the pure love that you promised me A love to reveal a new path I’m gonna trap myself in a sweet dream of an afternoon nap (Yeah, turn it up) Artificial lover Artificial lover Artificial lover Can’t trust this! You got that Fake smile, Artificial love Fake tears, Artificial love Fake love, Artificial love That’s your"
EXO – Baby Lyrics,"EXO – Baby Lyrics English Translation: This moment when I’m closing my eyes to pray I will hug the heart in you slowly Today is a one time chance My first footstep I take I will promise I’m going to do good As expected I, as predicted, happily Us two’s own dream That first step Why do you make my eyes shine like this Why do you make my heart beat this crazily Although I become breathless You are so precious to me Don’t forget In the beginning your dream, your word, thicker than tears Also sweeter than heaven’s nectar Yes, you are my baby baby baby, baby baby baby I promise I won’t stop when I only see you This moment when I’m closing my eyes to pray I wonder how long I’ve waited for this day while holding my hands together tightly Today is a one time chance My first footstep I take It’s not going to be easy I know Because we’re as far as the time that has fallen The unfamiliar face makes me sad Why do you make my eyes shine like this Why do you make my heart beat this crazily Although I become breathless You are so precious to me Don’t forget In the beginning your dream, your word, the summer that was fresh Also brighter than the heaven’s south side Yes, you are my baby baby baby, baby baby baby I promise I won’t stop when I only see you I know well that I’m so much like a fool The me that became to know only you is so unfamiliar Right now the first footstep that I am taking Follow girl, please come closer My heaven so that I can only look at you In the beginning your dream, your word, thicker than tears Also sweeter than heaven’s nectar Yes, you are my baby baby baby, baby baby baby I fell deep in the chest that you are my everything, that you are heaven baby baby baby, baby baby baby Promise me that you too will only see me Only love me"
EXO – Christmas Day Lyrics,"EXO – Christmas Day Lyrics English Translation: The morning I opened my eyes in heart fluttering excitement It’s like the feeling of untying the ribbon of a present Every single day of getting to know you The twinkling lights that decorate the streets Among those, your eyes are especially like the star light As if you’re melting in my arms, you come into my embrace What if you come to me when I’m sleeping? So I stay up all night, all night in a white daze Just like the Christmas day that I’ve always waited for Just like the Christmas day oh! When I think about you I get excited like a kid just like those days, just like that time You’re just like Christmas day In the long and cold season Only you are the warmth that remains inside my coat I’m getting filled with only warm memories (so warm) The white miracle that falls from the once dry sky It seemed like it wouldn’t come true The prayer that I was so desperate for even in my dreams When I opened my eyes in the morning, like the snow outside the window You silently fell all night, all night Just like the Christmas day that I’ve always waited for Just like the Christmas day oh! When I think about you I get excited like a kid just like those days, just like that time You’re just like Christmas day Just like the Christmas day that I’ve always waited for Just like the Christmas day oh! When I think about you I get excited like a kid just like those days, just like that time You’re just like Christmas day You’re just like Christmas day"
EXO – El Dorado Lyrics,"EXO – El Dorado Lyrics English Translation: I had the same dream again I was at an endless desert There is a dazzling city But it always vanishes before I get there I’m going toward the place I have to go I can’t confirm anything I can’t promise anything but Find the El Dorado, I’m leaving right now The bigger the adventure, the more danger that follows Into the light that spreads out before us Toward the future that no one knows of This walk will be a legend in the days to come The El Dorado Even if we’re walking in storms on some days If we’re together, I won’t be afraid, oh El Dorado rado Let’s look for paradise Sail sail sail, gotta gotta go go, gotta find the El Dorado El Dorado do Sail sail sail, gotta gotta go go, Gotta find the El Dorado El Dorado I hear the quiet sound of the wind Where did it blow from? A golden song I close my eyes and it gets a little clearer I can vaguely see that place Though we don’t know the end Though we can’t go back Find the El Dorado, when that place calls out to me I won’t stay frozen in the same spot Even if the high wave of sand comes crashing down The destiny I shall meet is El Dorado Sail sail sail, gotta gotta go go gotta find the El Dorado El Dorado In this dangerous journey, obstacles keep coming But we’ve become one and have overcome everything The light is getting bigger No pain no gain, this is a world of mystery Add all ten fingers to the circle above, we are one Now we’re here, countless times have passed us by I’m even more excited for the days to come I will prove that those who believed in me were right Under the same sky, under the same name, we are one So we believe in each other, oh El Dorado, rado (I know it’s there) Even if the high wave of sand comes crashing down We’ll face it again, in the end, El Dorado Sail sail sail, gotta gotta go go Gotta find the El Dorado El Dorado"
EXO – Exodus Lyrics,"EXO – Exodus Lyrics English Translation: Yeah, babe My queen You control me Oh yeah, stand up I shout out but the answer is no The broken pieces of my heart shine I’ve fallen and there’s no exit In the end, I’m in the same place, I’m lost The burning sun is setting but you’re even more dazzling Suddenly, my eyes grow blind I can’t even see the rising fire before me So I’m slowly burning This is all a dream, you’re a cruel queen Because you hid thorns behind that beauty Dangerous Dangerous, She’s so dangerous Can’t wake from this dream, it’s blossomed inside After the long loneliness, run away Exodus Exodus, It’s my Exodus Stand back, I shout but the dominos in my heart They’re falling and you’re nodding your head Whatever I do, I can’t turn things back I’m losing strength from my deepened sighs, girl You’re a shock in my head, I hear you wherever I go Suddenly, I’ve grown deaf No matter what I do, I can only hear you Captivated without space to rest You shine like a clear glass castle wall jewel I’ve trapped myself in you I’ve gone crazy for you, gone crazy I’m sick with an illness I can’t avoid She’s dangerously hot In your sweet arms, I’m a weak king Because I’ve lost everything else that’s not you Dangerous Dangerous, She’s so dangerous Past your arms that trapped me, into that path Toward that light, I’ll escape from you Exodus Exodus, It’s my Exodus Exodus Exodus"
EXO – First Love Lyrics,"EXO – First Love Lyrics English Translation: Oh oh oh oh (the secret diary of my first love) ah-yeah Step by step, I follow you Without you knowing, I match my footsteps with yours Your scent passes by my clothes Why am I so nervous? It’s so sweet That small and pretty hand is almost about to touch Almost about to touch, it tickles my heart I’m holding onto this soft warmth Our innocent love story has only been told to me My heart (Is white) my cheeks (are red) Our eyes are locked (black) my sky turns (yellow) It feels like I’m floating above the clouds It feels like I could fly, this gentle heart pounding You came to me and bloomed (a pretty single stemmed rose) You are my light (my light that shines in my heart) A secret that no one knows (a secret only we want to keep) The most dazzling picture (my picture, such a beautiful picture, love) Every day, I practiced All the sweet sweet words But when you look at me and smile They all melt down, out of my memory But nothing else is needed When it comes to a boy and girl’s first love With clear eyes, you whispered to me And in that reflection, I am smiling My heart (Is white) my cheeks (are red) Our eyes are locked (black) my sky turns (yellow) Everything looks different Why am I wandering through dreams every day? Everyone has this dream at least once Even your name makes my heart flutter, this dream called first love I’m falling deeper and deeper, like a child who has seen the world for the first time The unknown mystery that is you, I want to get to know one by one Teach me what love is, only you can teach me Slowly draw it on a white piece of paper so only I can see Every day, it’s crazy, I will be with you, I dream baby Love you baby baby You came to me without a sound, carefully spreading more and more Everything I got to know through you is beautiful I want to fall asleep forever in this dream My heart (Is white) my cheeks (are red) Our eyes are locked (black) my sky turns (yellow) The moment I stepped inside your world I was born again"
EXO – Growl Lyrics,"EXO – Growl Lyrics English Translation: Yo, okay I’m warning you just in case (listen carefully) It’s dangerous now (so dangerous) Stop provoking me (there’s going to be trouble) I don’t even know myself My breath keeps on stopping You walk towards me You smile at me Maybe you’re attracted to me too My sights become dark When you stare at me The sound of your breathing You’re the one that makes me crazy So nobody can look at you (when you smile) I want to hide you inside my embrace (I’m so serious) The stares that are after you Wakes up inside me There’s a harsh/fierce swirl/storm A dark shadow has woken up inside of me Sparks fly in my eyes as I look at you Everyone step away from her (step away) It’s going to get fierce from now on I’m growling, growling, growling I’m growling, growling, growling I’m growling, growling, growling If you don’t back away then I don’t care if you get hurt With agitated stare and cutting tension I’m searching your surroundings You just stay still and look at me I’ll never let you go you’ll see The stares that are seeking you who’s vividly shining in the blurry space The sound of the alarm is ringing in me A dark shadow has woken up inside of me Sparks fly in my eyes as I look at you Everyone step away from her (step away) It’s going to get fierce from now on I’m growling, growling, growling I’m growling, growling, growling I’m growling, growling, growling If you don’t back away then I don’t care if you get hurt E X O Just in case another wolf looks at you Because my girl is too perfect I hold you softly within me [OR] I embrace you softly I become violent just for you Only the strong one gets the beautiful woman Just go back because there’s no place You have zero chance Stop looking you’re going to wear her out If you desire her you have to win against me first Let’s erase everyone one by one except us Paused as if only you and I exist here A dark shadow has woken up inside of me Sparks fly in my eyes as I look at you Everyone step away from her (step away) It’s going to get fierce from now on I’m growling, growling, growling I’m growling, growling, growling I’m growling, growling, growling If you don’t back away then I don’t care if you get hurt I’m growling, growling, growling I’m growling, growling, growling I’m growling, growling, growling If you don’t back away then I don’t care if you get hurt"
EXO – Heart Attack Lyrics,"EXO – Heart Attack Lyrics English Translation: My eyes are far Since the beginning, the glint that can make any which light be in shame You are a strong flashlight Still yet your figure forever is left as an afterimage flashback I walked through a long maze Through a vision that looked like you Your figure that seemed that I can reach with my hand Whisking my hand in the air The one that I had inside my head only you I’m in the midst of going crazy in the fantasy that seems just like reality oh no no It can’t be it Really it can’t be you While my heart is nervously fidgeting the moment that is coming closer An instant Heart Attack This time’s end The world overpowering me The most entrancing feeling’s Heart Attack Even if my breathe stops, you’re so close, that I like it Heart Attack The wait’s end The serenity that quietly grasped my heart that seemed like it would burst Even if my breathe stops, right now it’s so peaceful that I like it. After the one that shines so brightly like this disappears Not anything was the same Again the airs become stagnant and hardened that I couldn’t even breath I initiated a conversation to you I don’t know if you can hear Although you turned around because you got surprised at the voice Eyes that can’t focus The most important question to me Perhaps it’s hard for myself to even believe it yet oh no no It can’t be it Really it can’t be you The moment that my hand touches that small face of yours An instant Heart Attack This time’s end The world overpowering me The most entrancing feeling’s Heart Attack Even if my breathe stops, you’re so close, that I like it Heart Attack The wait’s end The serenity that quietly grasped my heart that seemed like it would burst Even if my breathe stops, right now it’s so peaceful that I like it. Can I believe it If it’s a dream I won’t be hurting this much While hugging the whitely lit you If everything stopped like this An instant Heart Attack This time’s end The world overpowering me The most entrancing feeling’s Heart Attack Even if my breathe stops, you’re so close, that I like it Heart Attack The wait’s end The serenity that quietly grasped my heart that seemed like it would burst Even if my breathe stops, right now it’s so peaceful that I like it."
EXO – Heaven Lyrics,"EXO – Heaven Lyrics English Translation: Hello angel, you’re like a picture When I see the sky, I only see you City street lights go off and the moon disappears but it’s dazzling Because the star that fell from the sky is you Laughter comes out every night I can’t sleep even when I close my eyes I stay up all night at thoughts of you Your bright smile makes me breathe You probably have hidden wings on your back Anyone can see, you’re my angel If I’m with you, I can fly The sky gave you everything And this world gave you to me I wanna place you next to me so you can’t go back to the sky I wanna hold onto you, I wanna shut you in, I will hug you Hello angel, you’re like a picture When I see the sky, I only see you City street lights go off and the moon disappears but it’s dazzling Because the star that fell from the sky is you She says Don’t tell me I’m pretty so easily, like it’s a joke Warmly hug me like a blanket Stay with me without changing like the first time I’ll be with you just like you always imagined If this can be forever, I’ll do anything If this is a dream, I don’t ever wanna wake up And I just wanna know your days The sky gave you everything And this world gave you to me I won’t hurt you, so you won’t ever be damaged I’ll protect you, I’ll live for you, I promise you Hello angel, you’re like a picture When I see the sky, I only see you City street lights go off and the moon disappears but it’s dazzling Because the star that fell from the sky is you Even the prettiest gem of heaven Can’t be as beautiful as the dazzling you Don’t go far away, baby won’t you stay I will only love you for always Hello angel, you’re like a picture When I see the sky, I only see you City street lights go off and the moon disappears but it’s dazzling Because the star that fell from the sky is you"
EXO – Lady Luck Lyrics,"EXO – Lady Luck Lyrics English Translation: Time, go a little faster, yeah (I promise girl) Make darkness fall, bring her to me Out of the many stars, you are the only one Oh, I can’t help but lift my head and look Endlessly, endlessly Can’t I reach you even if I follow you? Can’t I catch you even if I hold out my hand? Why are you so far away? This long night is only filled with my deep sighs You shine and in that moment, you ecstatically come to me Inside the spilling meteor shower (you wanted me too) Past this darkness I’ll take you as you throw the dazzling light You’re getting closer (I wait for you all night) Babe babe, my own Lady Lady Luck Luck Luck (so listen) Many people go toward you, yeah (my precious girl) I’ll tell you a thousand wishes You can make them come true The only one I want is only you Oh, I’m satisfied with just your existence Even more, even more Hidden behind the dream-like aurora curtain is the dazzling fortune Your eyes have grown deeper and I’m the only one who can hear your voice You’re so dazzling, you come to me like you’re whispering Inside the scattering meteor shower (come to me when everyone’s sleeping) Just once in my life, through the countless nights that I’ve fallen for you You spill out to me (I’m earnestly waiting) The moment the entire world falls asleep You fly to me You shine and in that moment You ecstatically come to me Inside the spilling meteor shower (you wanted me too) Past this darkness I’ll take you as you throw the dazzling light You’re getting closer (I wait for you with open arms) Babe Babe you’re my lady luck Lady Lady (Luck Luck Luck) Babe Babe overtaking me, Falling as my Lady Lady"
EXO – Lightsaber Lyrics,"EXO – Lightsaber Lyrics English Translation: You’re a lone flower. A cold, iced-over gaze, starlight hidden in the depths. If only I could wake you from your long slumber in the jet black darkness… Follow the bright light stretching far ahead, feel the overflowing brightness. When I reach your world I awaken, I make you bloom, eh eh eh. I wandered here to your outreached hand, found you to protect you, be your savior. In the pitch black darkness I’ll take your hand. A life saver, Lightsaber (x4) Lightsaber (Drop) Oh, Lightsaber, oh. Light light light light light woo oh woo oh. Light light light light lightsaber. Light light light light light woo oh woo oh. Light light light light lightsaber. It makes your frozen heart melt and flow, and within we now dance the dance of light. Here we go. Danger, it’s dangerous. Figures of light lingering in the darkness, hurry, faster, before the day breaks, I’ll bring you to my side before anyone else can see. Lower your head, just follow my shadow burning white. Briefly close your eyes to the slowly sharpening moment on our orbiting ship. Light light light light light woo oh woo oh. Light light light light lightsaber. Light light light light light woo oh woo oh. Lightsaber Lightsaber Spilling forth like stars, defying the darkness. It’s time for me to make you bloom, make even the tears you’ve hidden shine. The dawn has come, everything is going back in place, and it’s here and now I will give you my everything. I wandered here to your outreached hand, found you to protect you, be your savior. In the pitch black darkness I’ll take your hand. A life saver, Lightsaber Light light light light light woo oh woo oh. Light light light light lightsaber. Light light light light light woo oh woo oh. Light light light light lightsaber. x5 Lightsaber"
EXO – Lotto Lyrics,"EXO – Lotto Lyrics English Translation: Oh yeah yeah oh yeah yeah Pretending not to be interested, avoiding your eyes Please understand, I have to risk my all Just by passing by, oh yeah I can see that you’re way different from other girls I look back and luck will still find me Lipstick, Chateau Wine color (La La La La) White Champagne Shower with bubbles (La La La La) It might only be once in my life My pressed down instincts are popping up What to do, I just hit the lotto Oh-oh-oh (Lotto) Oh-oh-oh (Lotto) Oh-oh-oh (Lotto) Oh-oh-oh (Lotto) You’re my luck You make my throw my heart Into a thread-like chance Now the others have their popcorn Waiting to see what happens to us (Ah baby) I hear a sound from far away “No way!” (No way no way no) Just have fun Oh yeah Everything has changed, oh yeah Even the air is different today The world has changed The night sky is filled with silver stars Lipstick, Chateau Wine color (La La La La) White Champagne Shower with bubbles (La La La La) It might only be once in my life My pressed down instincts are popping up I’m shouting louder towards you Oh-oh-oh (Louder) Oh-oh-oh (Louder) Oh-oh-oh (Louder) Oh-oh-oh (Louder) Don’t lose this moment We’re going crazy, my lucky lady This day will be remembered once again I’m thirsty even now, there’s still so much to give you I don’t need no money, I just need you I want you so bad Put it all on me (Oh yeah) Lipstick, Chateau (Chateau Chateau all over yeah) Wine color (La La La La) White Champagne (white Champagne on me) Shower with bubbles (La La La La) It might only be once in my life My pressed down instincts are popping up (Instincts are popping up) What to do, I just hit the lotto (Just hit the lotto yeah oh) La La La La yeah yeah yeah, yeah yeah yeah (Just hit the lotto woo yeah) Lotto (Oh-oh-oh) Yeah (yeah yeah yeah) yeah yeah yeah, yeah yeah yeah (Hit the lotto ooh yeah) You’re Lotto La La La La"
EXO – Love Love Love Lyrics,"EXO – Love Love Love Lyrics English Translation: Everyday, everyday, everyday I look for you. Just come back After meeting you, I’ve started to circle around you like this You won’t come back right? If you turn that handle I’m curious of the world after going through that tightly shut door The moment the door opens the world I knew and a different place spread You’re opening You’re blossoming Like this, like this, you’re quite warm The place where my two feet touch, this everything all resembles you I want to live here everyday, everyday Let me live all day by your side Reality doesn’t come. Why isn’t this a dream? Even I don’t believe it. Is it right that you’re a human? You don’t know right? You probably don’t know My heart towards you is love, love love ‘Cause, you’re my earth, air, water, fire (You’re my) earth, air, water, fire Me who’s looking at you looking at me looking at you You who’s looking at me, me who’s looking at you Look into your, butter-butterflies The sky that doesn’t end. I swim in your eyes Only you make me shine. I can see the future It can’t be if it’s not you To you who made me reborn, incredible The moment I met you, I threw away the world because it was boring Looking at the same place, laughing and crying together You’re quite like this, like this, like this Reality doesn’t come. Why isn’t this a dream? Even I don’t believe it. Is it right that you’re a human? You don’t know right? You probably don’t know My heart towards you is love, love love Me who’s looking at you looking at me looking at you You who’s looking at me, me who’s looking at you Me who’s looking at you looking at me looking at you You who’s looking at me, me who’s looking at you Now I won’t go again to a place where you aren’t present Now without you, nothing, clear away that exit Now I don’t have anything else to hope for, will you stay with me? The moment I cross over, I can’t go back No, before that, I don’t have the heart to I can’t even imagine a place without you, love, love, love Reality doesn’t come. Why isn’t this a dream? Even I don’t believe it. Is it right that you’re a human? It’s quite a relief, isn’t it? That I came to know you, that we came to fall in love, love, love, love"
EXO – Love Me Right Lyrics,"EXO – Love Me Right Lyrics English Translation: Oh Yeah! C’mon! Take your time For some reason, it’s a heart pounding night (na na na na) So tonight Let’s run to the end of the moon (Yea Yea Yea Yea) Just right Ignite your engine, step on the pedal Everything is special You and I look good together Whatever you want, Imma make it work (yeah) Shawty, Imma party till the sun down What is this mysterious feeling? Come to me, hurry, before the sun rise Wherever I am, me without you is a nobody (yeah) On this highway, it’s a runway Your eyes that look into mine are the milky way Just love me right Baby love me right Come to me, don’t hesitate You’re alluring, you’re my universe Just love me right My entire universe is you Just love me right My entire universe is you Shine a light, run into the starlight Past the milky way (na na na na) We can’t stop The moonlight that shines on us is always the same I’m still lost in your orbit I can do this all night long baby Because wherever I am, me without you is just half A bright, moonlit night, the stars give off their fireworks Shall we fly a little bit higher (fly higher) Feels like my heart will explode right now, we’re the only ones floating up Leaving the earth behind, below our feet, love me right So come on baby, your dazzling and even more beautiful universe (beautiful lady) Just love me right My entire universe is you Just love me right Just love me right (Can you love me right) Just love me right I just wanna make you love me (My entire universe is you) Even when countless nights come In my sky, only you shine (woo yeah) Whisper only to me You and I color in the night sky Just love me right (Oh oh oh yeah) Just love me right Just love me right (our own time) My entire universe is you Just love me right (An electric Cosmic ride, our own night time flight) I just wanna make you love me Yea (Woo You got to love) Yea (You got to love me) Yea My entire universe is you (my entire universe is you) (You love me) Yea (You love me) Yea (You love me) Yea My entire universe is you"
EXO – Lucky Lyrics,"EXO – Lucky Lyrics English Translation: Being born in the same country Talking in the same language We’re so lucky, it’s such a relief Nothing is for certain in this world On a day that I wore nice clothes I met you, I was lucky It’s because I did good in the past I can call your name and I can hold your hand Is the falling sunlight only shining on me? Can I be this happy? You call my name and you lean on my shoulder Is the sky’s sunlight only shining on you? Can you be that dazzling? So lucky, my love So lucky to have you So lucky to be your love, I am. hmm We like the same colors We like the same movies, lucky It’s a love that’s meant to be I can call your name and I can hold your hand Is the falling sunlight only shining on me? Can I be this happy? You call my name and you lean on my shoulder Is the sky’s sunlight only shining on you? Can you be that dazzling? So lucky, my love We smile brightly in the photo, we’re a perfect harmony I think I’m a lucky guy, it’s so good like we’re in a fairy tale of our dreams Oh my god, it’s the best thing to hear Her voice melts me like ice cream She is picture perfect Because you’re my first, because this song is about you I’m smiling like this, so only you can see, are you looking at me right now? I have a new dream, it’s to be one a better man Because your eyes that look at me make me run once again more than anything else So lucky, my love So lucky to have you So lucky to be your love, I am. hmm"
EXO – Lucky One Lyrics,"EXO – Lucky One Lyrics English Translation: Oh the sun is rising I’m holding a map that goes to you Plotting the coordinates and making the route No matter because the silver compass needle Will point to you The sky that resembles you is beautiful Again today, you are so dazzling Swerving on an unfamiliar road as if I know it I’m passing our parallel lines, I don’t mind Pushed by big waves at the end of this voyage After the wind violently blows My world stops and you’re my only one The moment I discover you, I’ll shine even brighter I’ll be the lucky one You and I (living it up) In this place (just living it up) Keep on coming (Wow wow wow wow) In the same time, the moment we become one We’ll be the lucky ones Girl (Oh, girl) Your secretly hidden confession (Just tell me right now) I’ll take one more step to your side baby Again today, I’ll never go back A rule that only I know, I’ll change it I’m passing our parallel lines, I don’t mind Pushed by big waves at the end of this voyage After the wind violently blows My world stops and you’re my only one The moment I discover you, I’ll shine even brighter I’ll be the lucky one You and I (living it up) In this place (just living it up) Keep on coming (Wow wow wow wow) In the same time, the moment we become one We’ll be the lucky ones Out of the countless people, you’re my lover A four-leaf clover that I luckily found You’re my fortune and you’ll come to me It’s so great, no matter what anyone says The more I get to know you, yeah let’s go There isn’t a place where we can’t coexist You’re my only one, I’m your lucky one cause I I I After the wind violently blows My world stops and you’re my only one The moment I discover you, I’ll shine even brighter I’ll be the lucky one You and I (living it up) In this place (just living it up) Keep on coming (Wow wow wow wow) In the same time, the moment we become one We’ll be the lucky ones I am the lucky one I am the lucky one"
